Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
03-06-2023,11:59,Rotterdam Alexander,13:02,Zaandam,"€10,74","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-06-2023,11:49,Burg. Meineszplein,11:55,Rotterdam Centraal,"€1,36","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
02-06-2023,16:43,Rotterdam Alexander,16:57,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
02-06-2023,08:16,Rotterdam Centraal,08:34,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
01-06-2023,17:14,Rotterdam Alexander,17:28,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
01-06-2023,08:40,Rotterdam Centraal,09:05,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
31-05-2023,16:12,Rotterdam Alexander,16:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
31-05-2023,08:13,Rotterdam Centraal,08:31,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-05-2023,17:57,Rotterdam Centraal,17:57,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-05-2023,17:27,Rotterdam Alexander,17:44,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-05-2023,08:26,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
27-05-2023,20:19,Delft,20:40,Rotterdam Centraal,"€2,34","€0,00",Reis,2.0,Reizen op Rekening Trein,,
27-05-2023,14:56,Rotterdam Centraal,15:20,Delft,"€2,34","€0,00",Reis,2.0,Reizen op Rekening Trein,,
26-05-2023,17:29,Rotterdam Alexander,17:58,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
